Name,Population,Size-sqr-km,Economic-Rate,Established-Date,Continent
India,1380004385,3287263,7.5,1947-08-15,Asia
United States,332915073,9833520,8.1,1776-07-04,North America
Indonesia,276361783,1910931,6.2,1945-08-17,Asia
Pakistan,225200000,803940,3.0,1947-08-14,Asia
Brazil,213993437,8515767,4.0,1822-09-07,South America
Nigeria,211401000,923768,2.0,196S0-10-01,Africa
Bangladesh,166303498,147570,3.0,1971-03-26,Asia
Russia,146171015,17098246,6.5,1991-12-25,Europe
Mexico,130222815,1964375,3.5,1810-09-16,North America
Japan,126150000,377975,8.5,660-02-11,Asia
Philippines,110562500,300000,4.0,1898-06-12,Asia
Egypt,100388073,1002450,2.5,1922-02-28,Africa
Ethiopia,109224414,1104300,1.5,1941-05-05,Africa
Vietnam,97429061,331212,3.5,1945-09-02,Asia
DR Congo,101780263,2344858,1.0,1960-06-30,Africa
Iran,85000000,1648195,4.0,1935-04-01,Asia
Turkey,83154997,783562,5.0,1923-10-29,Asia
Germany,83149300,357582,9.0,1871-01-18,Europe
Thailand,69799978,513120,3.5,1238-03-04,Asia
United Kingdom,67886011,242495,8.5,1707-05-01,Europe
France,67564251,643801,8.0,843-08-10,Europe
Italy,60367482,301338,6.5,1861-03-17,Europe
Tanzania,59734218,945087,1.5,1961-12-09,Africa
South Africa,59622350,1221037,3.5,1910-05-31,Africa
Myanmar,54339766,676578,1.5,1948-01-04,Asia
Kenya,53771296,580367,2.0,1963-12-12,Africa
South Korea,51780579,100210,9.0,1948-08-15,Asia
Colombia,50339443,1141748,3.0,1810-07-20,South America
Spain,46754778,505990,7.0,1492-01-02,Europe
Uganda,45741007,241551,1.5,1962-10-09,Africa
Argentina,45376763,2780400,2.5,1816-07-09,South America
Algeria,43900000,2381741,2.0,1962-07-05,Africa
Sudan,43849260,1886068,1.0,1956-01-01,Africa
Ukraine,43733762,603628,3.5,1991-08-24,Europe
Iraq,40670833,438317,2.0,1932-10-03,Asia
Afghanistan,38928346,652230,1.0,1919-08-19,Asia
Poland,38386000,312696,5.5,966-04-14,Europe
Canada,38005238,9984670,8.0,1867-07-01,North America
Morocco,36910560,446550,2.5,1956-03-02,Africa
Saudi Arabia,34813871,2149690,4.0,1932-09-23,Asia
Uzbekistan,34139600,447400,2.5,1991-08-31,Asia
Peru,32971854,1285216,3.0,1821-,Asia
